Item,Price,Ad ID,Location,Model,Details
 Bajaj Pulsar 49000 Kms 2014 year ,51999," Added via phone on 3 May, Ad ID: 1211717161 "," Vasai East, Mumbai ", Bajaj Pulsar 49000 Kms 2014 year ," Brand: Bajaj Model: Pulsar Year: 2014 KM Driven: 49,000 km "
 Bajaj Discover 23166 Kms 2013 year ,26500," Added via phone on 3 May, Ad ID: 1211717615 "," Vishal hall, Mumbai ", Bajaj Discover 23166 Kms 2013 year ," Brand: Bajaj Model: Discover Year: 2013 KM Driven: 23,166 km "
 Hero Honda Dawn 44000 Kms 2003 year ,13500," Added via phone on 3 May, Ad ID: 1211724209 "," Dhanayjay And Bhadarali, Mumbai ", Hero Honda Dawn 44000 Kms 2003 year ," Brand: Hero Honda Model: Dawn Year: 2003 KM Driven: 44,000 km "
 2011 Bajaj Pulsar 75000 Kms ,35000," Added via phone on 3 May, Ad ID: 1211725867 "," Mandvi, Mumbai ", 2011 Bajaj Pulsar 75000 Kms ," Brand: Bajaj Model: Pulsar Year: 2011 KM Driven: 75,000 km "
 Bajaj Discover 26778 Kms 2006 year ,13000," Added via phone on 3 May, Ad ID: 1207633179 "," Khar East, Mumbai ", Bajaj Discover 26778 Kms 2006 year ," Brand: Bajaj Model: Discover Year: 2007 KM Driven: 26,778 km "
 Bajaj Pulsar 260 Kms 2016 year ,60000," Added via phone on 4 May, Ad ID: 1212079055 "," Vinobha Bhave Nagar, Mumbai ", Bajaj Pulsar 260 Kms 2016 year , Brand: Bajaj Model: Pulsar Year: 2016 KM Driven: 260 km 
 2014 Suzuki Hayate 20000 Kms ,22000," Added via phone on 3 May, Ad ID: 1211740795 "," Andheri East, Mumbai ", 2014 Suzuki Hayate 20000 Kms ," Brand: Suzuki Model: Hayate Year: 2014 KM Driven: 20,000 km "
 2011 Honda Others 10000 Kms ,30000," Added via phone on 3 May, Ad ID: 1211737587 "," Malad West, Mumbai ", 2011 Honda Others 10000 Kms ," Brand: Honda Model: Others Year: 2011 KM Driven: 10,000 km "
 2016 Benelli TNT 300 Single digit 3 vip no BULLET RAJA Bikes ,249999," Added via phone on 3 May, Ad ID: 1192540175 "," Mulund West, Mumbai ", 2016 Benelli TNT 300 Single digit 3 vip no BULLET RAJA Bikes ," Brand: Other Brands Year: 2016 KM Driven: 9,000 km "
 Hero Honda Others 6783 Kms 2014 year ,45000," Added via phone on 3 May, Ad ID: 1211737951 "," Virar West, Mumbai ", Hero Honda Others 6783 Kms 2014 year ," Brand: Hero Honda Model: Others Year: 2014 KM Driven: 6,783 km "
 Honda Others 7500 Kms 2016 year ,50000," Added via phone on 3 May, Ad ID: 1211742855 "," Erangal, Mumbai ", Honda Others 7500 Kms 2016 year ," Brand: Honda Model: Others Year: 2016 KM Driven: 7,500 km "
 2009 Bajaj Pulsar 42 Kms ,30000," Added via phone on 3 May, Ad ID: 1200259131 "," Santacruz East, Mumbai ", 2009 Bajaj Pulsar 42 Kms , Brand: Bajaj Model: Pulsar Year: 2009 KM Driven: 42 km 
 2012 Hero Honda Karizma 20000 Kms ,40000," Added via phone on 3 May, Ad ID: 1211728269 "," Vasai East, Mumbai ", 2012 Hero Honda Karizma 20000 Kms ," Brand: Hero Honda Model: Karizma Year: 2012 KM Driven: 20,000 km "
 Honda CB 7000 Kms 2017 year ,58000," Added via phone on 3 May, Ad ID: 1211745243 "," Grant Road Area, Mumbai ", Honda CB 7000 Kms 2017 year ," Brand: Honda Model: CB Year: 2017 KM Driven: 7,000 km "
 2009 Honda Others 70000 Kms Good Condition ,30000," Added via phone on 3 May, Ad ID: 1211755725 "," Nalasopara East, Mumbai ", 2009 Honda Others 70000 Kms Good Condition ," Brand: Honda Model: Others Year: 2009 KM Driven: 70,000 km "
 2016 Bajaj Others 13000 Kms ,45000," Added via phone on 3 May, Ad ID: 1211756987 "," Umerkhadi, Mumbai ", 2016 Bajaj Others 13000 Kms ," Brand: Bajaj Model: Others Year: 2016 KM Driven: 13,000 km "
 2015 Hero Honda Others 10442 Kms ,42000," Added via phone on 3 May, Ad ID: 1211759383 "," Vaidya Nagar, Mumbai ", 2015 Hero Honda Others 10442 Kms ," Brand: Hero Honda Model: Others Year: 2015 KM Driven: 10,442 km "
 Honda CBR 7000 Kms 2015 year ,85000," Added via phone on 3 May, Ad ID: 1211757291 "," Vardhman Nagar, Mumbai ", Honda CBR 7000 Kms 2015 year ," Brand: Honda Model: CBR Year: 2015 KM Driven: 7,000 km "
 Hero Honda Super Splendor 35888 Kms 2008 year ,24500," Added via phone on 3 May, Ad ID: 1169528465 "," Vikhroli East, Mumbai ", Hero Honda Super Splendor 35888 Kms 2008 year ," Brand: Hero Honda Model: Super Splendor Year: 2008 KM Driven: 35,888 km "
 2004 Bajaj Pulsar 65000 Kms ,10000," Added via phone on 3 May, Ad ID: 1211765279 "," Kashimira, Mumbai ", 2004 Bajaj Pulsar 65000 Kms ," Brand: Bajaj Model: Pulsar Year: 2004 KM Driven: 65,000 km "
 Hero Splendor 54000 Kms 2003 year ,14000," Added via phone on 3 May, Ad ID: 1192465567 "," Mira Road, Mumbai ", Hero Splendor 54000 Kms 2003 year ," Brand: Hero Model: Splendor Year: 2003 KM Driven: 54,000 km "
 Honda CB 35000 Kms 2008 year ,24000," Added via phone on 4 May, Ad ID: 1211780541 "," Malad West, Mumbai ", Honda CB 35000 Kms 2008 year ," Brand: Honda Model: CB Year: 2008 KM Driven: 35,000 km "
 2012 Bajaj Pulsar 7056 Kms ,27500," Added via phone on 4 May, Ad ID: 1211788053 "," Ghatkopar West, Mumbai ", 2012 Bajaj Pulsar 7056 Kms ," Brand: Bajaj Model: Pulsar Year: 2012 KM Driven: 7,056 km "
 2014 Bajaj Pulsar 4000 Kms ,50000," Added via phone on 4 May, Ad ID: 1211788257 "," Vishal hall, Mumbai ", 2014 Bajaj Pulsar 4000 Kms ," Brand: Bajaj Model: Pulsar Year: 2014 KM Driven: 40,000 km "
" Neo ATV 110,cc bike ",75000," Added via phone on 4 May, Ad ID: 1211781535 "," Bhayandar East, Mumbai "," Neo ATV 110,cc bike ", Brand: Other Brands Year: 2018 KM Driven: 7 km 
 Credit Card/Loan facility available for Avenger Street 220 2016 model ,65000," Added via phone on 4 May, Ad ID: 1204285051 "," Grant Road Area, Mumbai ", Credit Card/Loan facility available for Avenger Street 220 2016 model ," Brand: Bajaj Model: Avenger Year: 2016 KM Driven: 20,000 km "
 2013 Honda CB 50000 Kms ,33000," Added via phone on 4 May, Ad ID: 1211780871 "," Byculla, Mumbai ", 2013 Honda CB 50000 Kms ," Brand: Honda Model: CB Year: 2013 KM Driven: 40,000 km "
 Honda Others 38000 Kms 2011 year ,24000," Added via phone on 4 May, Ad ID: 1211788479 "," Andheri West, Mumbai ", Honda Others 38000 Kms 2011 year ," Brand: Honda Model: Others Year: 2011 KM Driven: 38,000 km "
 2015 Honda CB 15345 Kms ,45000," Added via phone on 4 May, Ad ID: 1207009889 "," Beverly Park, Mumbai ", 2015 Honda CB 15345 Kms ," Brand: Honda Model: CB Year: 2015 KM Driven: 16,575 km "
 2011 Royal Enfield Classic 10000 Kms ,135000," Added via phone on 4 May, Ad ID: 1211791523 "," Malad East, Mumbai ", 2011 Royal Enfield Classic 10000 Kms ," Brand: Royal Enfield Model: Classic Year: 2011 KM Driven: 10,000 km "
 2010 Royal Enfield Others 16000 Kms ,280000," Added via phone on 4 May, Ad ID: 1194424473 "," Bhandup Industrial Area, Mumbai ", 2010 Royal Enfield Others 16000 Kms ," Brand: Royal Enfield Model: Others Year: 2010 KM Driven: 16,000 km "
 For Sell/Rent (Call966. ..4215 .981)(Royal Ride)Bullet 350cc ,89999," Added via phone on 4 May, Ad ID: 1211796515 "," Goregaon West, Mumbai ", For Sell/Rent (Call966. ..4215 .981)(Royal Ride)Bullet 350cc ," Brand: Royal Enfield Model: Bullet Year: 2015 KM Driven: 6,000 km "
 Hero Honda Splendor 150000 Kms 2012 year ,30000," Added via phone on 4 May, Ad ID: 1211821283 "," Santacruz West, Mumbai ", Hero Honda Splendor 150000 Kms 2012 year ," Brand: Hero Honda Model: Splendor Year: 2012 KM Driven: 1,50,000 km "
 2005 Hero Honda Karizma 25000 Kms ,17999," Added via phone on 4 May, Ad ID: 1211780757 "," Mankhurd, Mumbai ", 2005 Hero Honda Karizma 25000 Kms ," Brand: Hero Honda Model: Karizma Year: 2005 KM Driven: 25,000 km "
 2015 Honda CB 13000 Kms ,45000," Added via phone on 4 May, Ad ID: 1211776037 "," Borivali East, Mumbai ", 2015 Honda CB 13000 Kms ," Brand: Honda Model: CB Year: 2015 KM Driven: 13,000 km "
 2012 Royal Enfield Classic 27000 Kms ,80000," Added via phone on 4 May, Ad ID: 1211826855 "," Lower Parel, Mumbai ", 2012 Royal Enfield Classic 27000 Kms ," Brand: Royal Enfield Model: Classic Year: 2012 KM Driven: 27,000 km "
 Honda CBR 28000 Kms 2013 year ,95000," Added via phone on 2 May, Ad ID: 1211152267 "," Andheri East, Mumbai ", Honda CBR 28000 Kms 2013 year ," Brand: Honda Model: CBR Year: 2013 KM Driven: 28,000 km "
 Royal Enfield Thunderbird 34000 Kms 2014 year ,100000," Added via phone on 4 May, Ad ID: 1177987691 "," Vasai West, Mumbai ", Royal Enfield Thunderbird 34000 Kms 2014 year ," Brand: Royal Enfield Model: Thunderbird Year: 2014 KM Driven: 34,500 km "
 Royal Enfield standard Bullet 25000 Kms model1983 year 350 cc ,100000," Added via phone on 2 May, Ad ID: 1211157539 "," Andheri East, Mumbai ", Royal Enfield standard Bullet 25000 Kms model1983 year 350 cc ," Brand: Royal Enfield Model: Bullet Year: 1983 KM Driven: 2,50,000 km "
 Royal Enfield Bullet 35000 Kms 2005 model.. ,82500," Added via phone on 4 May, Ad ID: 1152274005 "," Borivali West, Mumbai ", Royal Enfield Bullet 35000 Kms 2005 model.. ," Brand: Royal Enfield Model: Bullet Year: 2005 KM Driven: 35,000 km "
 Bajaj Pulsar 25000 Kms 2003 year ,14000," Added via phone on 4 May, Ad ID: 1211837431 "," Vikhroli West, Mumbai ", Bajaj Pulsar 25000 Kms 2003 year ," Brand: Bajaj Model: Pulsar Year: 2003 KM Driven: 25,000 km "
 Bajaj Pulsar 48000 Kms 2008 year ,20500," Added via phone on 2 May, Ad ID: 1205754185 "," Kashimira, Mumbai ", Bajaj Pulsar 48000 Kms 2008 year ," Brand: Bajaj Model: Pulsar Year: 2008 KM Driven: 48,000 km "
 2009 Honda Others 40000 Kms ,15000," Added via phone on 2 May, Ad ID: 1211234115 "," Umerkhadi, Mumbai ", 2009 Honda Others 40000 Kms ," Brand: Honda Model: Others Year: 2009 KM Driven: 40,000 km "
 2013 Honda CB 50000 Kms ,21500," Added via phone on 2 May, Ad ID: 1211234577 "," Mulund East, Mumbai ", 2013 Honda CB 50000 Kms ," Brand: Honda Model: CB Year: 2013 KM Driven: 50,000 km "
 Honda Others 40000 Kms 2014 year ,35000," Added via phone on 2 May, Ad ID: 1211229713 "," Vishal hall, Mumbai ", Honda Others 40000 Kms 2014 year ," Brand: Honda Model: Others Year: 2014 KM Driven: 40,000 km "
 2009 Honda CBF Stunner 48000 Kms ,25000," Added via phone on 2 May, Ad ID: 1211247211 "," Jai Ambe Nagar, Mumbai ", 2009 Honda CBF Stunner 48000 Kms ," Brand: Honda Model: CBF Stunner Year: 2009 KM Driven: 48,000 km "
 Honda CB 77434 Kms 2006 year ,22000," Added via phone on 2 May, Ad ID: 1211239931 "," Bandra West, Mumbai ", Honda CB 77434 Kms 2006 year ," Brand: Honda Model: CB Year: 2006 KM Driven: 77,434 km "
 2010 Suzuki GS 26000 Kms ,26000," Added via phone on 2 May, Ad ID: 1211244327 "," Kanakia Road, Mumbai ", 2010 Suzuki GS 26000 Kms ," Brand: Suzuki Model: GS Year: 2010 KM Driven: 32,000 km "
 2010 Bajaj Pulsar 47000 Kms ,25000," Added via phone on 2 May, Ad ID: 1166808765 "," Vazira, Mumbai ", 2010 Bajaj Pulsar 47000 Kms ," Brand: Bajaj Model: Pulsar Year: 2010 KM Driven: 47,000 km "
 2017 Honda Others 2000 Kms ,65000," Added via phone on 2 May, Ad ID: 1211254527 "," Ushma Nagar, Mumbai ", 2017 Honda Others 2000 Kms ," Brand: Honda Model: Others Year: 2017 KM Driven: 2,000 km "
 2016 Royal Enfield Bullet 18500 Kms ,114500," Added via phone on 2 May, Ad ID: 1211258239 "," Mulund West, Mumbai ", 2016 Royal Enfield Bullet 18500 Kms ," Brand: Royal Enfield Model: Classic Year: 2016 KM Driven: 18,500 km "
 KTM Duke 200 40000 Kms 2013 year ,70000," Added via phone on 2 May, Ad ID: 1211261863 "," Nalasopara East, Mumbai ", KTM Duke 200 40000 Kms 2013 year ," Brand: KTM Model: Duke 200 Year: 2013 KM Driven: 40,000 km "
 2012 Bajaj Pulsar 54336 Kms ,40000," Added via phone on 2 May, Ad ID: 1211259063 "," Dahisar East, Mumbai ", 2012 Bajaj Pulsar 54336 Kms ," Brand: Bajaj Model: Pulsar Year: 2012 KM Driven: 54,336 km "
 Hyosung aquila 250 touring edition aquilla ,180000," Added via phone on 2 May, Ad ID: 1211259511 "," Mahim, Mumbai ", Hyosung aquila 250 touring edition aquilla ," Brand: Other Brands Year: 2014 KM Driven: 15,000 km "
 Yamaha YZF R 25000 Kms 2013 year ,80000," Added via phone on 2 May, Ad ID: 1208753157 "," Vasai East, Mumbai ", Yamaha YZF R 25000 Kms 2013 year ," Brand: Yamaha Model: YZF R Year: 2013 KM Driven: 25,000 km "
 Bajaj Avenger 150 Street 2016 Model In Very Good Condition ,61999," Added on 2 May, Ad ID: 1211267115 "," Goregaon East, Mumbai ", Bajaj Avenger 150 Street 2016 Model In Very Good Condition ," Brand: Bajaj Model: Avenger Year: 2016 KM Driven: 10,000 km "
 1996 Hero Honda Splendor 100000 Kms ,8000," Added via phone on 2 May, Ad ID: 1211287295 "," Dadar East, Mumbai ", 1996 Hero Honda Splendor 100000 Kms ," Brand: Hero Honda Model: Splendor Year: 1996 KM Driven: 1,00,000 km "
 1999 Hero Honda Splendor 100000 Kms ,6000," Added via phone on 2 May, Ad ID: 1211286933 "," Bandra East, Mumbai ", 1999 Hero Honda Splendor 100000 Kms ," Brand: Hero Honda Model: Splendor Year: 1999 KM Driven: 1,00,000 km "
 2009 Yamaha FZ 30000 Kms ,27000," Added via phone on 2 May, Ad ID: 1211275587 "," Andheri West, Mumbai ", 2009 Yamaha FZ 30000 Kms ," Brand: Yamaha Model: FZ Year: 2009 KM Driven: 30,000 km "
 KTM Duke 200 25000 Kms 2012 year ,72000," Added via phone on 2 May, Ad ID: 1205842803 "," Vasai West, Mumbai ", KTM Duke 200 25000 Kms 2012 year ," Brand: KTM Model: Duke 200 Year: 2012 KM Driven: 25,000 km "
 Honda Others 58812 Kms 2004 year ,17000," Added via phone on 2 May, Ad ID: 1211279269 "," Tokare, Mumbai ", Honda Others 58812 Kms 2004 year ," Brand: Honda Model: Others Year: 2004 KM Driven: 58,812 km "
 KTM 390 Duke ABS 15000 Kms 2020 year ,160000," Added via phone on 2 May, Ad ID: 1211285877 "," Jogeshwari West, Mumbai ", KTM 390 Duke ABS 15000 Kms 2020 year ," Brand: KTM Model: 390 Duke ABS Year: 2020 KM Driven: 15,000 km "
 2014 Hero Honda Passion 18000 Kms ,32000," Added via phone on 2 May, Ad ID: 1211261721 "," Valdhuni, Mumbai ", 2014 Hero Honda Passion 18000 Kms ," Brand: Hero Honda Model: Passion Year: 2014 KM Driven: 18,000 km "
 Bajaj Pulsar 21500 Kms 2007 year ,25000," Added via phone on 2 May, Ad ID: 1204028263 "," Ushma Nagar, Mumbai ", Bajaj Pulsar 21500 Kms 2007 year ," Brand: Bajaj Model: Pulsar Year: 2007 KM Driven: 21,500 km "
 2015 Royal Enfield Classic 17000 Kms ,105000," Added via phone on 2 May, Ad ID: 1208435875 "," Kalbadevi, Mumbai ", 2015 Royal Enfield Classic 17000 Kms ," Brand: Royal Enfield Model: Classic Year: 2015 KM Driven: 17,000 km "
 Urgent Selling BIke Pulsar 135 ,6000," Added on 2 May, Ad ID: 1211303539 "," Mahim, Mumbai ", Urgent Selling BIke Pulsar 135 ," Brand: Other Brands Year: 2012 KM Driven: 50,000 km "
 2014 Honda CB 25000 Kms ,36000," Added via phone on 2 May, Ad ID: 1211300725 "," Netaji Nagar, Mumbai ", 2014 Honda CB 25000 Kms ," Brand: Honda Model: CB Year: 2014 KM Driven: 25,000 km "
 1993 Royal Enfield Bullet 786 Kms ,99999," Added via phone on 2 May, Ad ID: 1206183447 "," Jogeshwari East, Mumbai ", 1993 Royal Enfield Bullet 786 Kms , Brand: Royal Enfield Model: Bullet Year: 1993 KM Driven: 786 km 
 2006 Bajaj Pulsar 5000 Kms ,17000," Added via phone on 2 May, Ad ID: 1211307159 "," Vinobha Bhave Nagar, Mumbai ", 2006 Bajaj Pulsar 5000 Kms ," Brand: Bajaj Model: Pulsar Year: 2006 KM Driven: 5,000 km "
 Bajaj Avenger 40000 Kms 2006 year ,20000," Added via phone on 2 May, Ad ID: 1211308373 "," Wadavali Village, Mumbai ", Bajaj Avenger 40000 Kms 2006 year ," Brand: Bajaj Model: Avenger Year: 2006 KM Driven: 40,000 km "
 Honda CB 9252 Kms 2011 year ,37000," Added via phone on 2 May, Ad ID: 1211293647 "," Powai, Mumbai ", Honda CB 9252 Kms 2011 year ," Brand: Honda Model: CB Year: 2011 KM Driven: 9,252 km "
 Bajaj Pulsar 40000 Kms 2012 year ,37000," Added via phone on 2 May, Ad ID: 1205341343 "," Andheri East, Mumbai ", Bajaj Pulsar 40000 Kms 2012 year ," Brand: Bajaj Model: Pulsar Year: 2012 KM Driven: 40,000 km "
 KTM RC 25000 Kms 2015 year ,110000," Added via phone on 2 May, Ad ID: 1211308843 "," Mira Road, Mumbai ", KTM RC 25000 Kms 2015 year ," Brand: KTM Model: RC Year: 2015 KM Driven: 25,000 km "
 Hero Honda Others 70000 Kms 2004 year ,25000," Added via phone on 2 May, Ad ID: 1211309449 "," Trombay, Mumbai ", Hero Honda Others 70000 Kms 2004 year ," Brand: Hero Honda Model: Others Year: 2004 KM Driven: 70,000 km "
 2018 KTM Duke 250 only 350 Kms ,190000," Added via phone on 4 May, Ad ID: 1211846513 "," Andheri East, Mumbai ", 2018 KTM Duke 250 only 350 Kms , Brand: KTM Model: Others Year: 2018 KM Driven: 350 km 
 2016 Kawasaki Er6n ,380000," Added via phone on 2 May, Ad ID: 1211313997 "," Jogeshwari West, Mumbai ", 2016 Kawasaki Er6n ," Brand: Other Brands Year: 2016 KM Driven: 10,000 km "
 Yamaha Others 22000 Kms 2016 year ,40000," Added via phone on 2 May, Ad ID: 1211309169 "," Malad West, Mumbai ", Yamaha Others 22000 Kms 2016 year ," Brand: Yamaha Model: Others Year: 2016 KM Driven: 22,000 km "
 2015 Bajaj Pulsar ,45000," Added via phone on 2 May, Ad ID: 1211314881 "," Dombivli East, Mumbai ", 2015 Bajaj Pulsar , Brand: Bajaj Model: Pulsar Year: 2015 KM Driven: 2 km 
 2006 Hero Honda Passion 18000 Kms ,18200," Added via phone on 4 May, Ad ID: 1166715435 "," Santacruz East, Mumbai ", 2006 Hero Honda Passion 18000 Kms ," Brand: Hero Honda Model: Splendor Year: 2006 KM Driven: 18,100 km "
 2009 Bajaj Platina 588 Kms ,25000," Added via phone on 4 May, Ad ID: 1211861545 "," Kandivali East, Mumbai ", 2009 Bajaj Platina 588 Kms , Brand: Bajaj Model: Platina Year: 2009 KM Driven: 588 km 
 Honda CB 15000 Kms 2016 year ,55000," Added via phone on 4 May, Ad ID: 1211857069 "," Vrindavan, Mumbai ", Honda CB 15000 Kms 2016 year ," Brand: Honda Model: CB Year: 2016 KM Driven: 15,000 km "
 TVS Apache RTR 3500 Kms 2013 year ,40000," Added via phone on 4 May, Ad ID: 1211867271 "," Khan, Mumbai ", TVS Apache RTR 3500 Kms 2013 year ," Brand: TVS Model: Apache RTR Year: 2013 KM Driven: 3,500 km "
 Bajaj Discover 49524 Kms 2012 year ,30000," Added via phone on 4 May, Ad ID: 1211868087 "," Nalasopara West, Mumbai ", Bajaj Discover 49524 Kms 2012 year ," Brand: Bajaj Model: Discover Year: 2012 KM Driven: 49,524 km "
 Hero Honda Glamour 47000 Kms 2009 year ,20000," Added via phone on 4 May, Ad ID: 1211869275 "," Bhandup, Mumbai ", Hero Honda Glamour 47000 Kms 2009 year ," Brand: Hero Honda Model: HX 250 R Year: 2009 KM Driven: 47,000 km "
 Urgent call ,170000," Added via phone on 4 May, Ad ID: 1211849477 "," Vijay Nagar, Mumbai ", Urgent call ," Brand: Other Brands Year: 2013 KM Driven: 5,900 km "
 Honda Others 70000 Kms 2006 year ,30000," Added via phone on 4 May, Ad ID: 1211870257 "," Panth Nagar, Mumbai ", Honda Others 70000 Kms 2006 year ," Brand: Honda Model: Others Year: 2006 KM Driven: 70,000 km "
 Honda CBF Stunner 20000 Kms 2010 year ,20000," Added via phone on 4 May, Ad ID: 1211871207 "," Malad West, Mumbai ", Honda CBF Stunner 20000 Kms 2010 year ," Brand: Honda Model: CBF Stunner Year: 2010 KM Driven: 20,000 km "
 2005 Bajaj Pulsar 5000 Kms ,20000," Added via phone on 4 May, Ad ID: 1211876101 "," Chembur, Mumbai ", 2005 Bajaj Pulsar 5000 Kms ," Brand: Bajaj Model: Pulsar Year: 2005 KM Driven: 5,000 km "
 2016 Hero Honda Passion 12000 Kms ,45000," Added via phone on 4 May, Ad ID: 1211876695 "," Ushma Nagar, Mumbai ", 2016 Hero Honda Passion 12000 Kms ," Brand: Hero Honda Model: Passion Year: 2016 KM Driven: 12,000 km "
 Hero Passion 1600 Kms 2017 year ,40000," Added via phone on 4 May, Ad ID: 1211877631 "," Goregaon West, Mumbai ", Hero Passion 1600 Kms 2017 year ," Brand: Hero Model: Passion Year: 2014 KM Driven: 1,600 km "
 2013 Bajaj Pulsar 23900 Kms ,46000," Added via phone on 4 May, Ad ID: 1211887633 "," Wadala East, Mumbai ", 2013 Bajaj Pulsar 23900 Kms ," Brand: Bajaj Model: Pulsar Year: 2013 KM Driven: 23,900 km "
 2009 Hero Honda Ambition 12000 Kms ,25000," Added via phone on 4 May, Ad ID: 1211888043 "," Govandi, Mumbai ", 2009 Hero Honda Ambition 12000 Kms ," Brand: Hero Honda Model: Ambition Year: 2008 KM Driven: 12,000 km "
 2011 Bajaj Avenger 24000 Kms ,35000," Added via phone on 2 May, Ad ID: 1211307339 "," Vishveshwar Nagar, Mumbai ", 2011 Bajaj Avenger 24000 Kms ," Brand: Bajaj Model: Avenger Year: 2011 KM Driven: 24,000 km "
 Royal Enfield Classic 39500 Kms 2012 year ,70000," Added via phone on 4 May, Ad ID: 1195180403 "," Versova, Mumbai ", Royal Enfield Classic 39500 Kms 2012 year ," Brand: Royal Enfield Model: Classic Year: 2012 KM Driven: 39,500 km "
 2011 Honda CBF Stunner 50000 Kms ,22000," Added via phone on 4 May, Ad ID: 1211905807 "," Vasai East, Mumbai ", 2011 Honda CBF Stunner 50000 Kms ," Brand: Honda Model: CBF Stunner Year: 2011 KM Driven: 50,000 km "
 Daytona racing exhaust model Dagrex ,6000," Added via phone on 4 May, Ad ID: 1211906379 "," Tunga Village, Mumbai ", Daytona racing exhaust model Dagrex , Brand: Other Brands Year: 2015 KM Driven: 1 km 
 2006 Bajaj Pulsar 40000 Kms ,16500," Added via phone on 4 May, Ad ID: 1211907065 "," Kandivali West, Mumbai ", 2006 Bajaj Pulsar 40000 Kms ," Brand: Bajaj Model: Pulsar Year: 2006 KM Driven: 40,000 km "
 Yamaha Others 0009 Kms 1997 year ,65000," Added via phone on 4 May, Ad ID: 1211916513 "," Vidya Nagari, Mumbai ", Yamaha Others 0009 Kms 1997 year , Brand: Yamaha Model: Others Year: 1997 KM Driven: 9 km 
 Hero Sleek 25000 Kms 2017 year ,22000," Added via phone on 4 May, Ad ID: 1211915707 "," Mandvi, Mumbai ", Hero Sleek 25000 Kms 2017 year ," Brand: Hero Model: Sleek Year: 2017 KM Driven: 25,000 km "
 Royal Enfield Classic 43000 Kms 2013 year ,95000," Added via phone on 4 May, Ad ID: 1211913819 "," Upper Parel, Mumbai ", Royal Enfield Classic 43000 Kms 2013 year ," Brand: Royal Enfield Model: Classic Year: 2013 KM Driven: 43,000 km "
 Hero Honda Passion 25000 Kms 2004 year ,12000," Added via phone on 4 May, Ad ID: 1211918941 "," Ushma Nagar, Mumbai ", Hero Honda Passion 25000 Kms 2004 year ," Brand: Hero Honda Model: Passion Year: 2004 KM Driven: 25,000 km "
 Honda CBF Stunner 25000 Kms 2009 year ,25000," Added via phone on 4 May, Ad ID: 1211921125 "," Bandra East, Mumbai ", Honda CBF Stunner 25000 Kms 2009 year ," Brand: Honda Model: CBF Stunner Year: 2009 KM Driven: 25,000 km "
 2011 Bajaj Pulsar 2000 Kms ,15000," Added via phone on 4 May, Ad ID: 1211922781 "," Malad West, Mumbai ", 2011 Bajaj Pulsar 2000 Kms ," Brand: Bajaj Model: Pulsar Year: 2011 KM Driven: 2,000 km "
 Bajaj Pulsar 50000 Kms 2010 year ,25000," Added via phone on 4 May, Ad ID: 1200252161 "," Tagore Nagar, Mumbai ", Bajaj Pulsar 50000 Kms 2010 year ," Brand: Bajaj Model: Pulsar Year: 2010 KM Driven: 50,000 km "
 Royal Enfield Others 23911 Kms 2015 year ,92000," Added via phone on 4 May, Ad ID: 1211938309 "," Virar West, Mumbai ", Royal Enfield Others 23911 Kms 2015 year ," Brand: Royal Enfield Model: Others Year: 2015 KM Driven: 23,911 km "
 Bajaj Platina 25000 Kms 2010 year ,25000," Added via phone on 4 May, Ad ID: 1211957515 "," Vazira, Mumbai ", Bajaj Platina 25000 Kms 2010 year ," Brand: Bajaj Model: Platina Year: 2010 KM Driven: 25,000 km "
 2006 TVS Others 18 Kms ,9999," Added via phone on 4 May, Ad ID: 1211938631 "," Samata Nagar, Mumbai ", 2006 TVS Others 18 Kms , Brand: TVS Model: Others Year: 2006 KM Driven: 18 km 
 Bajaj Pulsar 45000 Kms 2011 year ,15000," Added via phone on 4 May, Ad ID: 1211930483 "," Samata Nagar, Mumbai ", Bajaj Pulsar 45000 Kms 2011 year ," Brand: Bajaj Model: Pulsar Year: 2011 KM Driven: 45,000 km "
 2010 Royal Enfield Bullet 9000 Kms ,80000," Added via phone on 4 May, Ad ID: 1189859945 "," Prabhadevi, Mumbai ", 2010 Royal Enfield Bullet 9000 Kms ," Brand: Royal Enfield Model: Bullet Year: 2011 KM Driven: 36,000 km "
 2012 Yamaha FZ 15000 Kms ,38000," Added via phone on 4 May, Ad ID: 1211961599 "," Tilak Nagar, Mumbai ", 2012 Yamaha FZ 15000 Kms ," Brand: Yamaha Model: FZ Year: 2012 KM Driven: 15,000 km "
 Honda cb shine ,36000," Added on 4 May, Ad ID: 1211966083 "," Vile Parle West, Mumbai ", Honda cb shine ," Brand: Honda Model: CB Year: 2012 KM Driven: 23,150 km "
 2009 TVS Star City Plus 10000 Kms ,16999," Added via phone on 4 May, Ad ID: 1211970943 "," Nalasopara East, Mumbai ", 2009 TVS Star City Plus 10000 Kms ," Brand: TVS Model: Star City Plus Year: 2009 KM Driven: 10,000 km "
 Honda Others 22800 Kms 2016 year ,72000," Added via phone on 4 May, Ad ID: 1211972533 "," Vidyavihar West, Mumbai ", Honda Others 22800 Kms 2016 year ," Brand: Honda Model: Others Year: 2016 KM Driven: 22,800 km "
 1800kmBenelli302R ABS R&G frame slider's1800km BULLET RAJA Bikes ,339999," Added via phone on 27 May, Ad ID: 1214207467 "," Mulund West, Mumbai ", 1800kmBenelli302R ABS R&G frame slider's1800km BULLET RAJA Bikes ," Brand: Other Brands Year: 2017 KM Driven: 1,800 km "
